"id","name","code_iso","translatable","lang_id/id"
"lang_compassion_english","English","eng","True","base.lang_en"
"lang_compassion_finnish","Finnish ","fin","False","base.lang_fi"
"lang_compassion_norwegian","Norwegian","nor","False","base.lang_nb_NO"
"lang_compassion_swedish","Swedish","swe","False","base.lang_sv_SE"
"lang_compassion_danish","Danish","dan","False","base.lang_da_DK"
"lang_compassion_french","French","fra","False",""
"lang_compassion_spanish","Spanish","spa","False",""
"lang_compassion_espanol","Español","spa","False",""
"lang_compassion_mandi","Mandi","lem","False",""
"lang_compassion_portuguese","Portuguese","por","False",""
"lang_compassion_wassa_twi","Wassa Twi","was","False",""
"lang_compassion_maa","Maa","mas","False",""
"lang_compassion_tugen","Tugen","tuy","False",""
"lang_compassion_thai","Thai","tha","False",""
"lang_compassion_moore","Moore","mos","False",""
"lang_compassion_more","More","mos","False",""
"lang_compassion_bangla_2","Bangla","ben","False",""
"lang_compassion_bangla_ashik","Bangla & Achik","ben","False",""
"lang_compassion_karonese","Karonese","btx","False",""
"lang_compassion_hindi","Hindi","hin","False",""
"lang_compassion_amharic","Amharic","amh","False",""
"lang_compassion_haitien_creole","Creole","hat","False",""
"lang_compassion_creole_french","Creole And French","hat","False",""
"lang_compassion_indonesian","Indonesian","ind","False",""
"lang_compassion_swahili","Swahili","swa","False",""
"lang_compassion_krobo","Krobo","ada","False",""
"lang_compassion_samarenyo","Samarenyo","sam","False",""
"lang_compassion_tamil","Tamil","tam","False",""
"lang_compassion_swahil","Swahil","swa","False",""
"lang_compassion_filipino","Filipino","fil","False",""
"lang_compassion_kinyarwanda","Kinyarwanda","kin","False",""
"lang_compassion_dioula","Dioula","dyu","False",""
"lang_compassion_kunyarwanda","Kunyarwanda","kin","False",""
"lang_compassion_bahasa_indonesia","Bahasa Indonesia","ind","False",""
"lang_compassion_castellano","Castellano","spa","False",""
"lang_compassion_santali","Santali","sat","False",""
"lang_compassion_santal","Santal","sat","False",""
"lang_compassion_quechua","Quechua","que","False",""
"lang_compassion_aymara","Aymara","aym","False",""
"lang_compassion_adere","Adere","ade","False",""
"lang_compassion_bangla","Bangla (Bengali)","ben","False",""
"lang_compassion_bangali","Bengali","ben","False",""
"lang_compassion_visayan","Cebuano (Visayan)","vis","False",""
"lang_compassion_cebuano","Cebuano","ceb","False",""
"lang_compassion_ewe","Ewe","ewe","False",""
"lang_compassion_kannada","Kannada","kan","False",""
"lang_compassion_karen","Karen","kar","False",""
"lang_compassion_kembatigna","Kembatigna","kem","False",""
"lang_compassion_lahu","Lahu","lah","False",""
"lang_compassion_malayalam","Malayalam","mal","False",""
"lang_compassion_mazahua","Mazahua","maz","False",""
"lang_compassion_nahuatl","Nahuatl","nah","False",""
"lang_compassion_oriya","Oriya","ori","False",""
"lang_compassion_oromiffa","Oromiffa","oro","False",""
"lang_compassion_fanti","Fanti","fat","False",""
"lang_compassion_oromo","Oromo","orm","False",""
"lang_compassion_quechi","Q'uechi","que","False",""
"lang_compassion_qichua","Quichua","que","False",""
"lang_compassion_kichua","Kichua","que","False",""
"lang_compassion_sidamigna","Sidamigna","sid","False",""
"lang_compassion_sinhala","Sinhala","sin","False",""
"lang_compassion_tagalog","Tagalog","tag","False",""
"lang_compassion_telegu","Telegu","tel","False",""
"lang_compassion_tigrigna","Tigrigna","tig","False",""
"lang_compassion_totonaco","Totonaco","toc","False",""
"lang_compassion_tzeltal","Tzeltal","tze","False",""
"lang_compassion_tzotzil","Tzotzil","tzo","False",""
"lang_compassion_wolaitigna","Wolaitigna","wol","False",""
"lang_compassion_zapoteco","Zapoteco","zap","False",""
"lang_compassion_kiswahili","Kiswahili","swh","False",""
"lang_compassion_javanese","Javanese","jav","False",""
"lang_compassion_indonesia","Indonesia","ind","False",""
"lang_compassion_toraja","Toraja","sda","False",""
"lang_compassion_maasai","Maasai","mas","False",""
"lang_compassion_twi","Twi","twi","False",""
"lang_compassion_portuguese_2","Português","por","False",""
